route,page_type,clicks,impressions,ctr,average_position,apparent_search_intent,current_primary_cta,current_cta_destination,recommended_product,commercial_relevance_score,cta_visibility,cta_copy_quality,free_page_solves_entire_paid_need,builder_start_opportunity,trust_defects,mobile_defects,recommended_action
/tools/hmo-license-checker,free_tool,244,5033,4.85%,6.67,Check whether a property may need an HMO licence,Use checker,#calculator,HMO / Shared House agreement,7,hero and result,contextual,no,after result,"Penalty wording needs evidence review",none confirmed,"Lead with compliance confirmation; offer HMO paperwork only after result"
/blog/how-to-write-letter-before-action-unpaid-rent,blog,178,7037,2.53%,6.06,Write pre-action correspondence for unpaid rent,Prepare money claim,/products/money-claim,Money Claim,10,inline and sticky,contextual,no,after introductory answer,"Malformed title reported; verify rendered title",none confirmed,"Use registry mapping and fixed-price preview copy"
/blog/england-bailiff-eviction,blog,132,7991,1.65%,7.85,Understand bailiff enforcement after possession,Prepare court pack,/products/complete-pack,Complete Pack,8,inline and sticky,contextual,no,after legal-risk explanation,none confirmed,sticky CTA must not obscure copy,Keep court-stage mapping
/blog/england-section-8-ground-1,blog,122,6524,1.87%,7.07,Understand and use Ground 1,Create Section 8 notice,/products/notice-only,Notice Only,9,inline and sticky,contextual,no,after ground explanation,none confirmed,sticky CTA must remain dismissible,Preselect Ground 1 only as editable context
/blog/england-county-court-forms,blog,111,9428,1.18%,6.80,Identify possession court forms,Prepare court pack,/products/complete-pack,Complete Pack,9,inline and sticky,contextual,no,after form overview,none confirmed,none confirmed,Keep court-form-specific handoff
/tools/rent-arrears-calculator,free_tool,103,1623,6.35%,4.59,Calculate and evidence rent arrears,Prepare money claim,/products/money-claim,Money Claim,10,hero and after result,strong,no,immediately after result,"Source contains mojibake requiring rendered verification",none confirmed,Retain entered values in secure client state where supported
/blog/how-long-does-eviction-take-uk,blog,92,13599,0.68%,6.90,Estimate eviction timing,Prepare court pack,/products/complete-pack,Complete Pack,7,inline and sticky,contextual,no,after timeline explanation,none confirmed,sticky CTA must not obscure copy,Explain pack applies when case is moving toward court
/blog/england-section-8-ground-10-11,blog,84,5292,1.59%,5.86,Use discretionary arrears grounds,Create Section 8 notice,/products/notice-only,Notice Only,10,inline and sticky,contextual,no,after ground thresholds,none confirmed,sticky CTA must remain dismissible,Preselect Grounds 10 and 11 as editable context
/blog/england-money-claim-online,blog,79,15880,0.50%,7.53,Use MCOL for landlord debt,Prepare money claim,/products/money-claim,Money Claim,10,top bridge and inline,strong,no,after introductory answer,none confirmed,none confirmed,Consolidate duplicate offers if rendered clutter occurs
/blog/england-section-8-ground-14,blog,68,3530,1.93%,5.60,Use nuisance or antisocial-behaviour ground,Create Section 8 notice,/products/notice-only,Notice Only,9,inline and sticky,contextual,no,after evidence explanation,none confirmed,sticky CTA must remain dismissible,Preselect Ground 14 as editable context
/form-3-section-8,legal_guide,64,7429,0.86%,7.54,Find and complete Form 3,Create Section 8 notice,/products/notice-only,Notice Only,10,route-specific CTA,to verify,no,above detailed procedure,none confirmed,to verify,Render QA and align with central registry
/blog/england-section-8-ground-12,blog,57,2786,2.05%,5.67,Use tenancy obligation breach ground,Create Section 8 notice,/products/notice-only,Notice Only,9,inline and sticky,contextual,no,after evidence explanation,none confirmed,sticky CTA must remain dismissible,Preselect Ground 12 as editable context
/eviction-cost-uk,legal_guide,45,4850,0.93%,5.74,Estimate possession process costs,Prepare court pack,/products/complete-pack,Complete Pack,7,route-specific CTA,to verify,no,after cost summary,none confirmed,to verify,Explain fixed product price separately from court fees
/blog/uk-guarantor-agreements-guide,blog,44,4894,0.90%,8.99,Understand guarantor agreements,Create tenancy agreement,/products/ast,Tenancy Agreement,7,inline and sticky,contextual,no,after setup explanation,none confirmed,none confirmed,Keep tenancy setup mapping
/how-to-rent-guide,legal_guide,44,3672,1.20%,7.47,Understand How to Rent compliance,Informational next step,various,Tenancy Agreement,4,to verify,to verify,yes,only when setting up a tenancy,none confirmed,to verify,Do not force a sale; offer agreement as optional next-stage action
/n5-n119-possession-claim,legal_guide,37,5264,0.70%,7.07,Prepare N5 and N119 claim forms,Prepare court pack,/products/complete-pack,Complete Pack,10,route-specific CTA,to verify,no,before detailed form completion,none confirmed,to verify,Align to registry and render QA
/blog/scotland-first-tier-tribunal,blog,37,3024,1.22%,7.41,Understand Scottish tribunal process,Read guidance,informational,None directly supported,2,inline generic risk,to verify,yes,no,"Avoid England product leakage",none confirmed,Keep informational unless a verified Scotland product matches
/money-claim-carpet-damage,legal_guide,36,1720,2.09%,6.35,Recover evidenced carpet damage,Prepare money claim,/products/money-claim,Money Claim,9,route-specific CTA,to verify,no,after loss calculation,none confirmed,to verify,Use damage-specific claim copy
/section-8-grounds/how-to-evict-a-tenant-using-ground-1a,legal_guide,36,1650,2.18%,5.74,Use sale-related Ground 1A,Create Section 8 notice,/products/notice-only,Notice Only,9,route-specific CTA,to verify,no,after eligibility explanation,none confirmed,to verify,Preselect Ground 1A only when legally safe and editable
/blog/how-to-serve-eviction-notice,blog,35,3376,1.04%,8.44,Serve an eviction notice correctly,Create Section 8 notice,/products/notice-only,Notice Only,9,inline and sticky,contextual,no,after service explanation,none confirmed,sticky CTA must remain dismissible,Keep notice-specific mapping
