Query Cluster,Primary Keyword,Jurisdiction,Intent,Target Page,Page Type,Exists(Y/N),Secondary Pages,Monetisation Path,Product SKU,Price (if known),Priority,Notes
Eviction notices (paid),eviction notice pack,England/Wales/Scotland,Transactional,/products/notice-only,Product,Y,"/section-21-notice-template; /section-8-notice-template; /eviction-notice-template; /tools/validators/section-21; /tools/validators/section-8; /tools/free-section-21-notice-generator; /tools/free-section-8-notice-generator",Wizard -> Notice Only Pack,notice_only,39.99,P0,Primary paid conversion for notices
Complete eviction pack,complete eviction pack,England/Wales/Scotland,Transactional,/products/complete-pack,Product,Y,"/how-to-evict-tenant; /tools/validators/section-8; /section-8-notice-template",Wizard -> Complete Pack,complete_pack,199.99,P0,Full eviction workflow pack
Money claim pack,money claim pack,England/Wales/Scotland,Transactional,/products/money-claim,Product,Y,"/money-claim-unpaid-rent; /tools/rent-arrears-calculator; /tools/free-rent-demand-letter",Wizard -> Money Claim Pack,money_claim,199.99,P0,Court claim monetisation
Tenancy agreements (paid),tenancy agreement generator,UK (all),Transactional,/products/ast,Product,Y,"/tenancy-agreement-template; /tenancy-agreements/england; /tenancy-agreements/wales; /tenancy-agreements/scotland; /tenancy-agreements/northern-ireland",Wizard -> AST Standard/Premium,ast_standard/ast_premium,9.99/14.99,P0,Main tenancy agreement product hub
Section 21 template,section 21 notice template,England,Commercial,/section-21-notice-template,Landing,Y,"/tools/free-section-21-notice-generator; /tools/validators/section-21; /products/notice-only; /blog/what-is-section-21-notice",Free template -> Notice Only Pack,notice_only,39.99,P0,High-intent free-to-paid entry
Section 8 template,section 8 notice template,England,Commercial,/section-8-notice-template,Landing,Y,"/tools/free-section-8-notice-generator; /tools/validators/section-8; /products/complete-pack",Free template -> Complete Pack,complete_pack,199.99,P0,High-intent free-to-paid entry
Eviction notice template hub,eviction notice template UK,UK,Commercial,/eviction-notice-template,Landing,Y,"/section-21-notice-template; /section-8-notice-template; /products/notice-only",Free template -> Notice Only Pack,notice_only,39.99,P1,Top-of-funnel template hub
Rent arrears letter template,rent arrears letter template,UK,Commercial,/rent-arrears-letter-template,Landing,Y,"/tools/free-rent-demand-letter; /products/money-claim",Free template -> Money Claim Pack,money_claim,199.99,P1,Rent arrears lead-in
Tenancy agreement template,tenancy agreement template,UK,Commercial,/tenancy-agreement-template,Landing,Y,"/products/ast; /tenancy-agreements/england; /tenancy-agreements/wales",Free template -> AST purchase,ast_standard/ast_premium,9.99/14.99,P1,Lead-in for tenancy agreements
How to evict a tenant,how to evict a tenant UK,UK,Informational,/how-to-evict-tenant,Guide,Y,"/products/notice-only; /products/complete-pack; /section-21-notice-template",Guide -> Product purchase,notice_only/complete_pack,39.99/199.99,P1,Pillar eviction guide
Wales eviction guide,eviction notices Wales,Wales,Informational,/wales-eviction-notices,Guide,Y,"/products/notice-only; /products/complete-pack",Guide -> Product purchase,notice_only/complete_pack,39.99/199.99,P1,Jurisdiction-specific (Renting Homes Act)
Scotland eviction guide,notice to leave Scotland,Scotland,Informational,/scotland-eviction-notices,Guide,Y,"/products/notice-only; /products/complete-pack",Guide -> Product purchase,notice_only/complete_pack,39.99/199.99,P1,Jurisdiction-specific (PRT/Notice to Leave)
Money claim guide,claim unpaid rent MCOL,England/Wales/Scotland,Informational,/money-claim-unpaid-rent,Guide,Y,"/tools/rent-arrears-calculator; /products/money-claim",Guide -> Money Claim Pack,money_claim,199.99,P1,MCOL + Simple Procedure guide
Section 21 ban,section 21 ban 2026,England,Informational,/section-21-ban,Landing,Y,"/products/notice-only; /products/complete-pack",Urgency -> Notice/Complete Pack,notice_only/complete_pack,39.99/199.99,P1,Deadline/urgency landing page
Ask Heaven,landlord questions UK,UK,Informational,/ask-heaven,Tool,Y,"/tools; /products/notice-only; /products/complete-pack",Ask Heaven -> Product/Tool CTA,NA,NA,P0,AI Q&A entry point
Tools hub,free landlord tools,UK,Informational,/tools,Hub,Y,"/tools/validators; /tools/free-section-21-notice-generator; /tools/rent-arrears-calculator",Free tools -> Product upsell,NA,NA,P1,Tool discovery hub
Validators hub,document validators landlord,England,Informational,/tools/validators,Hub,Y,"/tools/validators/section-21; /tools/validators/section-8",Free validator -> Paid pack,notice_only/complete_pack,39.99/199.99,P1,Validator discovery hub
Section 21 validator,section 21 validity checker,England,Transactional,/tools/validators/section-21,Tool,Y,"/products/notice-only; /section-21-notice-template",Free validator -> Notice Only Pack,notice_only,39.99,P0,England-only tool
Section 8 validator,section 8 grounds checker,England,Transactional,/tools/validators/section-8,Tool,Y,"/products/complete-pack; /section-8-notice-template",Free validator -> Complete Pack,complete_pack,199.99,P0,England-only tool
Section 21 generator,free section 21 generator,England,Informational,/tools/free-section-21-notice-generator,Tool,Y,"/products/notice-only; /section-21-notice-template",Free tool -> Notice Only Pack,notice_only,39.99,P0,Free generator with paid upgrade
Section 8 generator,free section 8 generator,England,Informational,/tools/free-section-8-notice-generator,Tool,Y,"/products/complete-pack; /section-8-notice-template",Free tool -> Complete Pack,complete_pack,199.99,P0,Free generator with paid upgrade
Rent arrears calculator,rent arrears calculator,UK,Informational,/tools/rent-arrears-calculator,Tool,Y,"/products/money-claim; /money-claim-unpaid-rent",Free tool -> Money Claim Pack,money_claim,199.99,P0,Calculator + upsell
Rent demand letter tool,rent demand letter template,UK,Informational,/tools/free-rent-demand-letter,Tool,Y,"/products/notice-only; /products/money-claim",Free tool -> Notice/Money Claim,notice_only/money_claim,39.99/199.99,P1,Free generator with upsell
HMO licensing checker,HMO license checker,UK,Informational,/tools/hmo-license-checker,Tool,Y,"/products/ast",Free tool -> AST purchase,ast_standard/ast_premium,9.99/14.99,P1,Compliance checker
AST England,AST agreement England,England,Transactional,/tenancy-agreements/england,Landing,Y,"/products/ast; /tenancy-agreement-template",Landing -> AST purchase,ast_standard/ast_premium,9.99/14.99,P1,Jurisdiction-specific tenancy
Occupation Contract Wales,occupation contract Wales,Wales,Transactional,/tenancy-agreements/wales,Landing,Y,"/products/ast; /tenancy-agreement-template",Landing -> AST purchase,ast_standard/ast_premium,9.99/14.99,P1,Jurisdiction-specific tenancy
PRT Scotland,private residential tenancy Scotland,Scotland,Transactional,/tenancy-agreements/scotland,Landing,Y,"/products/ast; /tenancy-agreement-template",Landing -> AST purchase,ast_standard/ast_premium,9.99/14.99,P1,Jurisdiction-specific tenancy
NI tenancy agreement,private tenancy agreement NI,Northern Ireland,Transactional,/tenancy-agreements/northern-ireland,Landing,Y,"/products/ast; /tenancy-agreement-template",Landing -> AST purchase,ast_standard/ast_premium,9.99/14.99,P1,Jurisdiction-specific tenancy
Missing validator (Wales),Wales notice validator,Wales,Transactional,/tools/validators/wales-notice,Tool,N,"Referenced in blog Next Steps + validatorToolRoutes",Free validator -> Notice packs,notice_only/complete_pack,39.99/199.99,P0,Referenced in code but no page exists
Missing validator (Scotland),Notice to Leave validator,Scotland,Transactional,/tools/validators/scotland-notice-to-leave,Tool,N,"Referenced in blog Next Steps + validatorToolRoutes",Free validator -> Notice packs,notice_only/complete_pack,39.99/199.99,P0,Referenced in code but no page exists
Missing validator (Tenancy),tenancy agreement validator,UK,Transactional,/tools/validators/tenancy-agreement,Tool,N,"Referenced in blog Next Steps + validatorToolRoutes",Free validator -> AST purchase,ast_standard/ast_premium,9.99/14.99,P0,Referenced in code but no page exists
Missing validator (Money claim),money claim validator,UK,Transactional,/tools/validators/money-claim,Tool,N,"Referenced in validatorToolRoutes",Free validator -> Money Claim Pack,money_claim,199.99,P0,Referenced in code but no page exists
